Name,URL,Add.,Phone,Mobile,Email,Website,Contact Person,Purpose,Aims/Objectives/Mission,Error,Match_Status,Match_Confidence,Match_Evidence,AI_Verdict,AI_Reason
"Belong Here, New Delhi",https://ngosindia.org/delhi-ngos/belong-here-new-delhi/,"49/25, East Patel Nagar, Ground Floor New Delhi Pin: 110008 Delhi",91-11-25854031,91-98103 01171,ngulati@ifc.org,,Neera Gulati,Help the need and create awareness.,I wish to help people and be human with them. Want to create awareness how to be and keep happy.,,no_website,,,,
"Bhagwati Devi Educational & Welfare Society, New Delhi",https://ngosindia.org/delhi-ngos/bhagwati-devi-educational-welfare-society-new-delhi/,"5/162, Dakshin Puri Ext. New Delhi Pin: 110062 Delhi",91-11-29965289,,sh_bdm.eduandwel_society@yahoo.com,http://www.bhagwatidevi foundatio.org,Amit Chauhan,To help for poor people and gave them education.,Our aim is help of poor people and gave education to there children. No one should be illiterate and without education. There living standard is very low it should be improve. Because life is very precious. We have to save there life and make them educated.,,unreachable,,ConnectionError,,
"Bharat Sashaktikaran Trust, Delhi",https://ngosindia.org/delhi-ngos/bharat-sashaktikaran-trust-delhi/,,,85953 88276,bst.nsdc@gmail.com,www.bstnsdc.co.in,Sanjay Kumar & Ritesh Singh,"Agriculture, Child Rights, Community Development, Distance Learning, E-Learning, Education, Employment, Rural Development, Yoga Skill Development. Aim/Objective/Mission : This trust is develop for skill development, society development, education.",,,unreachable,,ConnectionError,,
"Bharat Vikas Sanstha, New Delhi",https://ngosindia.org/delhi-ngos/bharat-vikas-sanstha-new-delhi/,"493, Block 14, Trilok Puri Near Charch New Delhi Pin: 110091 Delhi",,"91-93100 76300, 91-93507 16994",bvsrdelhi@gmail.com,,Virender,"Child welfare, development, disability, education, health, human rights, poverty, women issue, Aids awareness, children education.","To help people to realize their potentialities and help them to become self-reliant. Holistic development of orphan, destitute children, youth, adolescent girls, women, physically challenged, senior citizens etc. By providing education, technical training, health care etc. We are working also for aids awareness.",,no_website,,,,
"Bharatiya Cattle Resource Development Foundation, New Delhi",https://ngosindia.org/delhi-ngos/bharatiya-cattle-resource-development-foundation-new-delhi/,"Ahimsa Bhawan, F 125, Lado Sarai New Delhi Pin: 110030 Delhi",91-11-65160776,91-95400 13200,info@cowind.org,,Avnish Jain,Cattle development,Our main aim cattle development by organic farming.,,no_website,,,,
"Bhartiya Chetana Avam Prakashan Samiti, New Delhi",https://ngosindia.org/delhi-ngos/bhartiya-chetana-avam-prakashan-samiti-new-delhi/,"21, Central Market New Delhi Pin: 110062 Delhi",,91-98103 77147,Bhartiya_chetna_prakashan@yahoo.com,,Pawan Kumar Modi,"Promote health & education, generate employment","Promote a system in which every person is educated, be healthy and have an opportunity to earn his/ her livelihood. Take active part for aids awareness, organise blood donation camps etc.",,no_website,,,,
"Bhartiya Jain Milan, Delhi",https://ngosindia.org/delhi-ngos/bhartiya-jain-milan-delhi/,"6/220, Doonger Mohalla Delhi Pin: 110032 Delhi",,91-98118 41811,pitamjain@hotmail.com,,Pitam Kumar Jain,Help the poor persons.,Organise the medical check up camps/aids to needy persons/aids to poor for his/her marriage children/held the old persons.,,no_website,,,,
"Bhartiya Jansangharsh Shakti, Delhi",https://ngosindia.org/delhi-ngos/bhartiya-jansangharsh-shakti-delhi/,"D-21, Phase-I, Budh Vihar Delhi Pin: 110086 Delhi",,91-99532 84811,bjs.secretary@gmail.com,,"Bharat Kumar, Mehar Gaur",Awareness.,"Bhartiya Jansangharsh Shakti is a voluntary organisation working for the integrated and comprehensive development of needy children, their family and communities through sponsorship programs. It visions of a world in which children realise their full potential in society, which respects people?s rights and dignities and where children are protected from abuse and exploitation.",,no_website,,,,
"Bhartiya Mahila Jagriti Parishad, Delhi",https://ngosindia.org/delhi-ngos/bhartiya-mahila-jagriti-parishad-delhi-2/,,,98107 74803,tekchand09@gmail.com,,Tek Chand,"Women Development/Welfare, Women’S Issues Our Ngo Is For The Welfare Of Distressed Children & Destitute Women. Aim/Objective/Mission : We are actively involved to solve the problems of persecuted women and neglected children of the society.",,,no_website,,,,
"Bhartiya Manavadhikar Association, Delhi",https://ngosindia.org/delhi-ngos/bhartiya-manavadhikar-association-delhi/,"45D, Amar Plaza, Hasanpur Main Road, I.P. Extentation Delhi Pin: 110092 Delhi",91-11-32405800,91-98716 40670,hrai_dli@yahoo.com,http://www.hrai.co.in,Anurag Chandravanshi,Human rights.,"Women empowerment, child development and awareness of rights. To make efforts for awareness of human welfare society, programming for moral, mental, intellectual, educational developments to entire mankind. Efforts for creation of atmosphere of equality free from chaste, creed religion upper/lower segments in the society. To make complete awareness for human rights to the society and to educate with regard to constitutional rights. To protect from tortures and effort for providing social justice to all class of society from govt./administration/ national/state human rights commission, human rights courts and other concerned levels.rendering the services of national human rights commission having in touch with them to the common people. Running of govt. approved technical coures training programs for human welfare. All other activities of human welfare as may be permissible under section 20 of the Indian societies act.",,likely_mismatch,2.5,Humanrights Association of India | Humanrights Association of India,,
"Bhartiya Sanskriti Raksha Shakti, New Delhi",https://ngosindia.org/delhi-ngos/bhartiya-sanskriti-raksha-shakti-new-delhi/,"B-170, DDA Shed, Okhla Indstrial State 1 New Delhi Pin: 110019 Delhi",91-11-20319257,,bhartiysanskritiraksha@gmail.com,http://www.bhartiyasanskritiraksha.org,Rajinder Kumar Manak,For old & drstitute person,"Senior citizen village run at Patlikul, village Dawara situated on midway between Kullu & Manali (H.P) under the auspices of the renowned Bhartiya Sanskriti Raksha Shakti, a congregation actively engaged in upliftment of the society as a whole.",,unreachable,,ConnectionError,,
"Bhartiya Sehrikrit Gramin Uthan Avom Shiksha Samiti, New Delhi",https://ngosindia.org/delhi-ngos/bhartiya-sehrikrit-gramin-uthan-avom-shiksha-samiti-new-delhi/,"39, Darachya Hauz Khas New Delhi Pin: 110016 Delhi",91-11-65823099,,sourabh_world2000@yahoo.co.in,http://www.uthan.org,Sourabh Sharma,Help people.,"Women empowerment, poverty eradication, help old aged, handicapped and mentally challenged, upliftment of Bhaujan samaj, sc/st community, poor and needy.",,unreachable,,ConnectionError,,
"Bhartiya Sindhu Shakti, New Delhi",https://ngosindia.org/delhi-ngos/bhartiya-sindhu-shakti-new-delhi/,,,"78388 38845, 99990 66911",bsindhushakti@gmail.com,,"Lalchan Babani, Deepak Gurnani, Mohit Gurnani","Cultural Heritage. Cultural Issues, General – Social Welfare, Social Awareness Works For Sindhi Community. Aim/Objective/Mission : Sindhi cultural society works for promotion of sindhi language, culture and heritage trough sindhi theater and cultural shows.",,,no_website,,,,
"Bhartiya Yuva Chalchitra Sansthan, Delhi",https://ngosindia.org/delhi-ngos/bhartiya-yuva-chalchitra-sansthan-delhi/,"A-28, Subash Park, Uttam Nager Delhi Pin: 110033 Delhi",91-11-25689567,,yuvachalchitra@yahoo.co.in,,G.Kumar,,"Human rights, women and child developments, art, craft, health, aids and self employment.",,no_website,,,,
"Bhavishya Sapno Ki Udaan!, New Delhi",https://ngosindia.org/delhi-ngos/bhavishya-sapno-ki-udaan-new-delhi/,,,98109 63303,mail.bhavishya@gmail.com,www.bhavishyanet.org,Sundaram Kumari,"Art And Craft, Art And Culture, Community Development, Cultural Heritage. Sustainable Development, Training, Tribal Development. Aim/Objective/Mission : A trust for crafts and craftspeople, working to support traditional indian craftspeople, many of them women and village based, with the objective of helping craftspeople regain their place in the economic mainstream, in a country where the craft sector is second only to agriculture in providing employment.",,,unreachable,,ConnectionError,,
"Bhoo Raksha Sanstha, Delhi",https://ngosindia.org/delhi-ngos/bhoo-raksha-sanstha-delhi/,"L-1/56 Budh Vihar, Phase II Delhi Pin: 110086 Delhi",91-11-27532425,,bhoorakshasanstha@yahoo.com,,Dinesh Tyagi,Plantation,Plantation everywhere with the help of people.,,no_website,,,,
"BINTY, New Delhi",https://ngosindia.org/delhi-ngos/binty-new-delhi/,"2-A/9, 2nd Floor, Bhawani Kunj Aptt. New Delhi Pin: 110070 Delhi",91-11-26136232,,gcmbinty@yahoo.com,,G.C. Mathur,Consumer protection.,"Consumer education, environment protection and prevent corruption.",,no_website,,,,
"BJS – Bhartiya Sangharsh Shakti, New Delhi",https://ngosindia.org/delhi-ngos/bjs-bhartiya-sangharsh-shakti-new-delhi/,"D-21, Phase-I, Budh Vihar Delhi Pin: 110086 Delhi",,91-92108 85100,bjs.corporate@gmail.com,,Mehar Gaur,Awareness & development.,"BJS seeks a hope, tolerance and social justice, where poverty has been overcome and people live in dignity and security. Our mission is to facilitate lasting change in the well being and social position of vulnerable groups, especially women and girl. Guided by our core values respect, integrity, commitment and excellence we work to insure that our internal behaviours and relationships fully support our external programming and promote organisational learning.",,no_website,,,,
"BLESS – Badrinarayan Lal Educational & Social Development Society, New Delhi",https://ngosindia.org/delhi-ngos/bless-badrinarayan-lal-educational-social-development-society-new-delhi/,"Flat No. 10-A, Plot No. 3 New Delhi Pin: 100092 Delhi",91-612-2551052,,bless@india.com,http://www.bless.co.in,Purushottam Narayan Gopal,,"Bless is a non profitable national character ngo, committed to serve the poor, needy, disable, women, old aged person, orphans for their health, mental and educational development and financial prospects without any distinction of cast, creed or religions in the interest of mankind in general and also create a sense of brotherhood, co-operation, mutual harmony, love and affection among the general public.",,likely_mismatch,5.1,(no title/meta found),,
"Blessing India Charitable Trust, Delhi",https://ngosindia.org/delhi-ngos/blessing-india-charitable-trust-delhi/,"240/11, Samaypur Delhi Pin: 110042 Delhi",91-11-27830152,,blessingindiacharitabletrust@gmail.com,http://www.blessingindiacharitabletrust.ning.com,Dinesh Kumar,Education,Save the life of the poor and needy people.,,unreachable,,HTTPError,,
"Blessing Society, New Delhi",https://ngosindia.org/delhi-ngos/blessing-society-new-delhi/,"B 8, Guru Nanak Market, Lajpat Nagar New Delhi Pin: 110024 Delhi",91-11-26441381,91-98997 40973,akvisharat@blessingsociety.com,http://www.blessingsociety.com,Anita Kumari,Community welfare,"Blessing society is an all India non profit organization and working for poor community. Providing education for underprivileged children. Providing health facilitates for poor community. Support to small organization as in kind facilliteis, funds, training, open child seltter, open old age home for homeless people.",,likely_mismatch,13.8,(no title/meta found),,
"Bluewaves Welfare Society, Delhi",https://ngosindia.org/delhi-ngos/bluewaves-welfare-society-delhi/,"96, Rajpura Gurmandi Delhi Pin: 110007 Delhi",,91-99114 93891,bluewavesociety@gmail.com,,Aanand Chadha,Provide elementary education to the children in red light areas.,"Our focus is on the rights of india?s most marginalized communities: indigenous people, women, children and minorities. These groups face an acute lack of access to and control over resources, services, and institutions. Also, women and men, girls and boys who have been trafficked, displaced, or hit by natural and human-made disasters. We therefore take a rights-based approach to development, helping people to claim their rights which may be constitutional, moral or legal entitlements. This is in addition to addressing immediate needs like food, health care, shelter and education.",,no_website,,,,
"Bonded Labour Liberation Front, New Delhi",https://ngosindia.org/delhi-ngos/bonded-labour-liberation-front-new-delhi/,"7, Jantar Mantar Road New Delhi Pin: 110001 Delhi",91-11-23367943,,agnivesh70@gmail.com,"http://www.swamiagnivesh.com, http://www.agnimanthan.com","Swami Agnivesh Purpose 😕 Human rights, labour, women’s issues Aims/Objectives/Mission 😕 Bllf is primarily engaged in identification of bonded labour and child labour employed in various sectors of the economy. It works for their liberation from captivity and rehabilitation under the rules. Apart from this it also organise awareness campaigns and conducts training sessions for their empowerment.",,,,unreachable,,ConnectionError,,
"BRB Research Analysis & Development, New Delhi",https://ngosindia.org/delhi-ngos/brb-research-analysis-development-new-delhi/,"A-56, Basement, Lajpat Nagar New Delhi Pin: 110025 Delhi",,91-98113 76605,,,Dr. Bhagaban Behera,Social development.,"To build up a world class consulting organization offering development solutions which will immensely contribute to overall development of India in all its dimensions and manifestations including rural and urban, social and economic, human and material across all sections of the community by providing policy inputs through studies and research and also by undertaking activities leading to inclusive growth and sustainable development of the national economy. Improve the livelihood pattern of small & marginal farmers by enhancing their access to appropriate and affordable technologies, market related information and linkages.",,no_website,,,,
"Break through, New Delhi",https://ngosindia.org/delhi-ngos/break-through-new-delhi/,"E 1/A, Kailash Colony, 1st Floor New Delhi Pin: 110048 Delhi","91-11-41666101, 91-11-41666102, 91-11-41666103, 91-11-41666104, 91-11-41666105, 91-11-41666106",91-98996 80970,ditipriya@breakthrough.tv,http://www.breakthrough,Ditipriya Ghosh,Human rights,"Breakthrough envisions a world where each one of us can realize our full potential. In this world, no one is abused, poor, marginalized or oppressed. In this world, individuals and communities are able to participate fully in the processes and policies that ensure their well being, while respecting the diversity and pluralism of their communities. We envision a world where human rights begin and live in every home. MISSION Working through centers in India and the United States, Breakthrough builds a global human rights culture by transforming hearts, minds and actions.",,unreachable,,ConnectionError,,
"Bright Future Foundation Trust, New Delhi",https://ngosindia.org/delhi-ngos/bright-future-foundation-trust-new-delhi/,,,99585 35930,bfft.india@gmail.com,www.bimtindia.org,Hempal Asrawat,"Community Development, Corporate Social Responsibility, Development (General), Distance Learning, Education, Information And Communications Technology, Minorities, Volunteers, Women Development/Welfare Computer Education, Skill Development. Aim/Objective/Mission : About bright future foundation trust from the beginning of 2010, we are constantly growing and make available us to put together as shaping the knowledge in order to make and fill fruitful color through catering job oriented and life oriented training programmes for youths, capital of india. To follow these objectives, we communicate as to make and use platform of it education, in the form of certificate, diploma and advance diploma and also alarm to various esteemed institute and universities to bring graduate and postgraduate, professional level course in form of moderate and invite world wide opportunities at our desk.",,,likely_match,100.0,"Indias No-1 Computer Institution,  Smart NSDC Partner NDLM  Partner",,
"Bright Life Foundation, Najafgarh",https://ngosindia.org/delhi-ngos/bright-life-foundation-najafgarh/,,,"89507 78055, 9728526427",blfngoindia@gmail.com,www.blfngoindia.com,Vikas Aggarwal,"Anti Drug Campaign, Ayurveda, Cancer Patients Help, Child Rights, Child Welfare, Cow Protection Centre (Goushala), Education, Environment, Health, Herbal Medicine, Human Development, Law, Livelihood, Local Self Governance (Panchayati Raj), Medical Relief, Mentally Handicapped Persons, Physically Disabled, Self Help Groups, Right To Information, Training, Water, Women Development/Welfare, Youth. Aim/Objective/Mission : Want health, education and sport Development.",,,unreachable,,ConnectionError,,
"Bright Minds Educational Society, New Delhi",https://ngosindia.org/delhi-ngos/bright-minds-educational-society-new-delhi/,"2842, First Floor, Classic Apartment New Delhi Pin: 110002 Delhi",,91-92682 11665,mohammadhamidkhan@yahoo.com,,M. H. Khan,"Welfare for the women, child, old peoples and other weaker sections of the Indian society.","Spread the education, specially technical education like computer education, women and child help, coaching classes and counselling for backward classes & help the poor students. Establish charitable dispensaries for good health of women, children & old age peoples.",,no_website,,,,
"Brighter Tomorrow, New Delhi",https://ngosindia.org/delhi-ngos/brighter-tomorrow-new-delhi/,,,99699 56046,brightertomorrow@rediffmail.com,www.brightertomorrowfoundation.com,Kashish Verma,"Child Welfare, Education, Human Development, Volunteers, Youth. Aim/Objective/Mission : Brighter tomorrow foundation is a registered ngo (non-government organization) established with a pledge to help the poor, needy and under privileged section of the society including all backward classes. We believe that children are our biggest assets and we can change the world if we guide them towards the right direction. We help children unlock their potential and realise their dreams. We believe that every child is extraordinary and can scale great heights if provided with the right learning opportunities. With regular and generous contributions from our supporters and volunteers, we aim to march steadily towards achieving these goals. Currently focusing on child care in the following areas child education and growth career development personality development poverty alleviation ongoing projects study-mate.",,,unreachable,,ConnectionError,,
"Bring Smile, Delhi",https://ngosindia.org/delhi-ngos/bring-smile-delhi/,,,92666 77123,anandbhushan1@gmail.com,www.bringsmilengo.org,Anand Bhushan / Nitesh Yadav,"E-Learning, Education, Environment, Health, Herbal Medicine. Aim/Objective/Mission : Bring smile is a non-profit organisation, having its head office in New Delhi, India. It was established in the year 2010 by a group of professionals from diverse backgrounds. Currently, the organisation has presence across 3 states (Delhi, Bihar, Jharkhand). Organisation directly implements development projects for underprivileged communities in villages as well as urban slums across the country. The organisation works for the welfare of children education, livelihood and healthcare sectors.",,,unreachable,,ConnectionError,,
"Bruu Foundation, New Delhi",https://ngosindia.org/delhi-ngos/bruu-foundation-new-delhi/,,,92590 01007,bruufoundation@gmail.com,www.bruufoundation.com,Rakesh Kumar,"Child Welfare, Climate Change, Community Development, Consumer Issues, Corporate Social Responsibility, Cow Protection Centre (Goushala), Cultural Heritage., Cultural Issues, Development (General), Disability, Disadvantaged Communities, Disaster Management, Distance Learning, E-Governance, E-Learning, Economics And Finance, Education, Employment, Environment, Fair Trade, Food And Nutrition, Forest Management, Forestry, Gender, General – Social Welfare, Governance, Grants Aids, Group Promotion, Health, Herbal Medicine, Hiv Aids, Human Development, Human Rights, Indigenous Knowledge, Industry, Information And Communications Technology, Infrastructure, Installation Of Borewells, Media, Medical Relief, Mentally Handicapped Persons, Micro-Enterprises, Minorities, Natural Resource Management, Ngo Management, Old Aged Welfare, Orphanage, Peace, Physically Disabled, Plantation, Pollution, Population, Poverty, Public Administration, Rehabilitation, Research, Rural Development, Sanitation, Science And Technology, Self Help Groups, Sericulture, Sex Workers Welfare, Shelter Home, Social Awareness, Society And Economy, Sustainable Development, Traditional Activist (Guni) Mobilisation, Right To Information, Trade And Industry Welfare, Traditional Health, Trafficking Of Women, Training, Tribal Development, Tribal Issues, Urban Development, Volunteers, Waste Management, Water, Wildlife, Women Development Welfare, Women’S Issues, Yoga, Youth Skill Development. Aim/Objective/Mission : Identify and work alongside the economically and [...]",,,unreachable,,ConnectionError,,
"BUTTERFLIES, New Delhi",https://ngosindia.org/delhi-ngos/butterflies-new-delhi/,"U-4, 1st Floor, Green Park New Delhi Pin: 110016 Delhi","? 91-11-26163935, 91-11-26196117",,butterflies@vsnl.com,,"? Rita Panicker Purpose 😕 Child welfare, Education, Human Rights Aims/Objectives/Mission 😕 Butterflies organises support service to help street children in terms of non-formal education, health care and recreation. It organises children for collective action, helps and protects them from exploitation and creates public awareness. It also runs social mobilization activities on issues of exploitation and child abuse.",,,,no_website,,,,
"Byword Editorial Consultants, New Delhi",https://ngosindia.org/delhi-ngos/byword-editorial-consultants-new-delhi/,"705, Somdutt Chambers II, Bhikaji Cama Place New Delhi Pin: 110066 Delhi","? 91-11-26180427, 91-11-26184046",,editbyword@yahoo.com,,"? Bandana Malhotra Purpose 😕 Education, Media Aims/Objectives/Mission 😕 Byword is a comprehensive editorial consultancy in the fields of medicine and science. It specialises in linking scientific ideas to words and desiderata to data. Its training workshop emphasize the rigours of scientific writing and adherence to international guidelines. The ranges of services of the organisation include rewriting, restructuring and research.",,,,no_website,,,,
"Cabinet Secretariat, New Delhi",https://ngosindia.org/delhi-ngos/cabinet-secretariat-new-delhi/,"Cabinet Secretariat, Government of India New Delhi Pin: 110004 Delhi","? 91-11-23016696, 91-11-23012095",,,? http://www.cabsec.nic.in,"? Prabhat Kumar Purpose 😕 Development(General), Grants/Aids, Public Administration Aims/Objectives/Mission 😕 The Cabinet Secretariat is under the direct charge of the Prime Minister. The administrative head of the Secretariat is the Cabinet Secretary who is also the ex-officio Chairman of the Civil Services Board. Rules of Business. The Cabinet Secretariat is responsible for the administration of the Government of India Rules, 1961 and the Government of India Rules 1961, facilitating smooth transaction of business in Ministries/ Departments of the Government.",,,,unreachable,,InvalidURL,,
"CADAM – Centre for Alternative Dalit Media, Delhi",https://ngosindia.org/delhi-ngos/cadam-centre-for-alternative-dalit-media-delhi/,"M 3/22, Delhi Delhi Pin: 110009 Delhi",91-11-27442744,,info@cadam.in,,Rajni Tilak,Alternative media of dalits and other marginalised people.,CADAM was formed in 1995 to build an alternative media of dalits and other oppressed people. It is the secretariat of the national confederation of dalit organisations.,,no_website,,,,
"Can Kids Kids Can, New Delhi",https://ngosindia.org/delhi-ngos/can-kids-kids-can-new-delhi/,"D 7/7, Vasant Vihar New Delhi Pin: 110057 Delhi","91-11-41663670, 91-11-41663671, 91-11-41663672",91-98115 25745,info@cankidsindia.org,http://www.cankidsindia.org,Poonam Bagai,to provide full support to children and their families faced with cancer.,To achieve 70-90% survival rates for Children with cancer in India. To ensure no child should suffer lack of treatment due to finances. To enable access to a complete range of support services anywhere in India to any child with cancer and his family.,,likely_match,100.0,HOME - CanKids KidsCan,,
"Can Support, Delhi",https://ngosindia.org/delhi-ngos/can-support-delhi/,"Kanak Durga Basti Vikas Kendra, New Delhi Pin: 110022 Delhi",91-11-26102851,,cansup_@hotmail.com,http://www.cansupport.org,Jolly Varma,Our programs are for all cancer patients and their families living in Delhi and the NCR.,"Can Support is a not for profit society which was registered in Delhi in 1996 This organization grew out of the personal experience of Ms. Harmala Gupta, a survivor of hodgkin?s lymphoma. Along with a group of like-minded volunteers, this organization began to offer information, support and meaningful care to people with advanced cancer.? Home care: palliative care delivery at home and capacity building through training. Supportive care: day care, peer support group meetings, telephone helpline.",,likely_match,100.0,CanSupport – India’s Leading Cancer Care NGO,,
"Cancer Care Trust, New Delhi",https://ngosindia.org/delhi-ngos/cancer-care-trust-new-delhi/,,,87506 61503,rahulkalra629@gmail.com,www.cancercaretrust.org,Rahul Kalra,"Cancer Patients Help, Child Rights, Corporate Social Responsibility. Aim/Objective/Mission : Our soul mission of operating this government recognized trust is to give treatment to not so blessed person for healthy and stable life again. Of the proportion of people around us there are some individuals who are not able to take proper guidance and treatment of the cancer and eventually die of it leaving behind their family at the middle of nowhere. So we help the individual to obtain the treatment and live peacefully. We create world-class cancer services for young people in the india, providing life-changing care and support so young people don’t have to face cancer alone. We know that having cancer at a young age comes with its own particular set of challenges. Our services put the needs of young people first and allow them to face those challenges together. We provide a safe place where young cancer patients can be together to enjoy a fun time away from hospital, doing what young [...]",,,likely_match,100.0,Cancer Care Trust | NGO in Delhi Supporting Poor Needy Children,,
"Capstone Ministries, Delhi",https://ngosindia.org/delhi-ngos/capstone-ministries-delhi/,"J 45, Chetan Basti, Karol Bagh Delhi Pin: 110008 Delhi",,91-98106 25008,capstoneministries123@yahoo.com,,Pr.Jeblin,For better future of India.,For better future of India.,,no_website,,,,
"CARD – Centre for Agriculture & Rural Development, New Delhi",https://ngosindia.org/delhi-ngos/card-centre-for-agriculture-rural-development-new-delhi/,"C-17, Third floor, Lajpat Nagar 1 New Delhi Pin: 110024 Delhi","? 91-11-29819927, 91-11-29812747",,agricult@del3.vsnl.net.in,? http://www.card.org.in,"? M.J. Khan Purpose 😕 Agriculture, Development(General), Education, Fair Trade, Health, Livelihood, Pesticide, Research, Rural Development Aims/Objectives/Mission 😕 CARD is a national level non-governmental organisation, registered under the Societies act 1870. CARD is engaged in a variety of activities in agriculture and rural development with an all India presence. It focuses on information dissemination, training, capacity building and technology exposure by organising business seminars, technical conferences, farmers workshops, agro trade fairs, conducting surveys & studies and adopting villages for their sustainable development.",,,,unreachable,,InvalidURL,,
"Care & Concern Foundation, New Delhi",https://ngosindia.org/delhi-ngos/care-concern-foundation-new-delhi/,"B 39, Ground Floor, LIC Colony, Paschim Vihar New Delhi Pin: 110087 Delhi",91-11-25281591,91-98915 38455,taruna_careconcern@yahoo.in,,Love Kakkar,Treatments for chronic diseases.,To provide financial support to those who don’t have enough to spend on ailments.,,no_website,,,,
"Care & Cure Society, New Delhi",https://ngosindia.org/delhi-ngos/care-cure-society-new-delhi/,,,98352 20052,drrvkhandelwal75@gmail.com,,Dr Ravi Kumar Khandelwal,"Health Aim/Objective/Mission : To provide medical facilities to whatever need. To provide /promote/guide on the food habit, clothing, hygiene, medical and health care facilities for the needy and underprivileged segments of the society irrespective of the childred or grown up people. To educate people regarding importance of physical exercise, yoga, medication, concentration & relaxation to relieve stress.",,,no_website,,,,
"Care 2 Care Foundation, New Delhi",https://ngosindia.org/delhi-ngos/care-2-care-foundation-new-delhi/,"90/46, First Floor New Delhi Pin: 110017 Delhi",,91-92127 06647,care2carefoundation@gmail.com,http://www.care2carefoundation.org,Dr. Mona Kapur,Social welfare.,Social welfare.,,unreachable,,ConnectionError,,
"Care India Trust, New Delhi",https://ngosindia.org/delhi-ngos/care-india-trust-new-delhi/,"110 & 42 A Jindal Farm, Kapashersa More, South West New Delhi Pin: 110037 Delhi",,"91-92784 94961, 91-92784 76760",careindia9@gmail.com,,Dr. C.K. Simon (Sam),,"Orphan age, old age, home, school, hospital for poor and downtrodden in the society. To provide good education and health care for the orphan and downtrodden, take care of the aged in their old age.",,no_website,,,,
"CARE INDIA, New Delhi",https://ngosindia.org/delhi-ngos/care-india-new-delhi/,"Care India, 27, Hauz Khas New Delhi Pin: 110016 Delhi","? 91-11-26564101, 91-11-26564081",,cbox@careindia.org,? http://www.careindia.org,"? H S Sethi Purpose 😕 Disaster management, Education, Health, Micro-enterprises Aims/Objectives/Mission 😕 CARE seeks a world of hope, tolerance and social justice, where poverty has been overcome and people live in dignity and security. CARE India?s mission is to facilitate lasting change in the well being and social position of vulnerable groups, especially women and girl. Guided by our core values Respect, Integrity, Commitment and Excellence we work to insure that our internal behaviours and relationships fully support our external programming and promote organisational learning.",,,,unreachable,,InvalidURL,,
"Care Village Foundation, Delhi",https://ngosindia.org/delhi-ngos/care-village-foundation-delhi/,,,93500 04647,carevillagetrust@gmail.com,www.cvfIndia.org,Vishal Singh,"Adolescent Girls Welfare, Advocacy On Social Issues. Aim/Objective/Mission : Care village foundation, a non profit organization aims to build a society where the vulnerable living on the fringes of the establishment can become an integral part of the system and secure their future by getting equal opportunities. This organisation is committed to the welfare of youth, women, adolesents, girls, childrens, scheduled caste/tribe communities. It is functioning since december’2008 and registered during 2012 with registeration no. 1329. The organisation is working for social development through counseling, development cum training services, yoga awareness campaigns, promotion of sports and culstural activities, formation of community groups (shgs/jlgs), self employment projects and various other community related activities in collaboration with different govt. /non-govt. Agencies like mwcd, nehru yuva kendra, ministry of youth affairs & sports (government of India), Delhi tuberculosis association(dtba), liver care foundation, Delhi police, ministry of aayush, sebi, niit,sns foundation,jss prayas,rajiv gandhi cancer institute & research centre(rgcri),unhcr,access development services,sant kaur memorial trust, jana urban services for transformation pvt. Ltd. Just etc.",,,likely_match,100.0,Care Village Foundation,,
"CARE, Delhi",https://ngosindia.org/delhi-ngos/care-delhi/,"B 127, Swashtya Vihar Delhi Pin: 110092 Delhi",91-11-43043678,91-98118 80282,rkbimal@gmail.com,,R K Bimal,Protection for girl child and gender sensation.,"Animal husbandry, dairying & fisheries, aged/ elderly, agriculture, art & culture, bio technology, children, civic issues, disaster management, dalit upliftment, drinking water, education & literacy, environment & forests, food processing, health & family welfare, HIV/aids, human rights, information & communication technology, legal awareness & aid, labour & employment, land resources, micro finance (SHGs), minority issues, micro small & medium enterprises, nutrition, panchayati raj.",,no_website,,,,
"CARENIDHI, New Delhi",https://ngosindia.org/delhi-ngos/carenidhi-new-delhi/,"V 15, Green Park Extension Delhi Pin: 110016 Delhi","? 91-11-26101878, 91-11-26167397",,carenidhi@hotmail.com,,"? Dr Sunanda Kolli Purpose 😕 Child welfare, Disability, Disadvantaged communities, Education, Food and Nutrition, Health, Information and Communications Technology, Poverty, Sustainable Development Aims/Objectives/Mission 😕 CARENIDHI?s has a vision to integrate disability-related Health initiative into ?Community Development’. It calls for the combined efforts of people with different disabilities, their families, health and rehabilitation professionals organisations involved in the care of disabled children and supportive service in the Education, Social, and health sectors.",,,,no_website,,,,
"Caritas India, New Delhi",https://ngosindia.org/delhi-ngos/caritas-india-new-delhi/,"Caritas India, CBCI Centre New Delhi Pin: 110001 Delhi","? 91-11-23363390, 91-11-23715146",,caritus@ndb.vsnl.net.in,,"? Ivan Joseph Purpose 😕 Disadvantaged communities, Disaster management, Environment, Micro-enterprises, Poverty, Rehabilitation, Women’s issues Aims/Objectives/Mission 😕 The vision of Caritas India is to form a just society based on values of cooperation, participation, sharing, mutual concern and equality. It promotes process that is educative in nature; ensures people’s organisation and empowerment which is relevant to culture, needs and natural growth of the people.",,,,no_website,,,,
